"Application Name","Ministry","Application Owner","Who was involved","Business Fit Score","Criticality Fit Score","B1 - Strategic Contribution","B2 - Regional Growth Support","B3 - Public Confidence Impact","B4 - Scope of Use","B5 - Business Process Criticality","B6 - Business Interruption Tolerance","B7 - Essential Service Impact","B8 - Current Needs Fulfillment","B9 - Future Needs Adaptability","B10 - User Satisfaction","Notes","Modified","Modified By"
"AQMS - Air Quality Monitoring System",,"Krista Campbell","BSS","76.3","91.3","5 – Essential: Directly enables or is required to achieve a core strategic goal or mandated outcome.","1 – None: No clear link to economic or growth objectives.","5 – Transformative: High-profile system. Outage would cause public backlash, negative media, legislative scrutiny, or major loss of trust.","5 – Public facing: Public-facing.","5 – Mission critical: Essential for service delivery; failure halts operations or breaches a mandate.","4 – Within 4 hours: Must be restored within four hours.","5 – Mission-Critical: Directly supports life, safety, health, security, or legally mandated services. An outage causes immediate and severe impact to citizens or government operations.","4 – Good: Aligns well with current business requirements and supports most processes effectively.","4 – High: Has flexibility for long-term growth and capability for change.","4 – Satisfied: Users are generally positive with few issues.",,"2/26/2026 1:34 PM","Brittner, Ryan SBP"
"Biodiversity Website",,"Andrea Benville","BSS","38.8","37.5","3 – Indirect: Plays a supportive role in general operations but is not directly aligned with strategic objectives.","1 – None: No clear link to economic or growth objectives.","3 – Moderate: Noticeable impact. Partners or citizens may complain. Executive attention possible but low likelihood of political issues.","5 – Public facing: Public-facing.","2 – Moderate dependency: Regularly used; the process continues with manual effort or a short workaround.","1 – Greater than a week: Can be offline for more than a week.","2 – Supporting: Indirectly supports internal or administrative functions that enable service delivery. An outage has a limited operational impact and can be managed through manual or alternate processes.","2 – Poor: Provides limited support for business needs and requires significant manual intervention.","1 – Very low: Unlikely to meet evolving needs without major replacement.","3 – Neutral: Users see it as acceptable but unremarkable.",,"2/26/2026 1:45 PM","Brittner, Ryan SBP"
"eCLMS - Enterprise Crown Land Management System - D365",,"Krista Campbell","BSS","87.5","83.8","5 – Essential: Directly enables or is required to achieve a core strategic goal or mandated outcome.","5 – Growth plan action: Directly delivers or enables a specific strategic action or measurable outcome in the Growth Plan.","5 – Transformative: High-profile system. Outage would cause public backlash, negative media, legislative scrutiny, or major loss of trust.","4 – Cross organization: Cross-organization for internal use.","5 – Mission critical: Essential for service delivery; failure halts operations or breaches a mandate.","3 – Within 24 hours: Must be restored within a day.","4 – Essential: Directly supports core public services or revenue collection. An outage causes significant service disruption and public impact, but short outages may be managed.","4 – Good: Aligns well with current business requirements and supports most processes effectively.","4 – High: Has flexibility for long-term growth and capability for change.","4 – Satisfied: Users are generally positive with few issues.",,"2/26/2026 2:02 PM","Brittner, Ryan SBP"
"Outfitters Database",,"Travis Williams","BSS","38.8","48.8","3 – Indirect: Plays a supportive role in general operations but is not directly aligned with strategic objectives.","4 – Supports plan objective: Indirectly supports a specific Growth Plan objective or related economic initiative.","3 – Moderate: Noticeable impact. Partners or citizens may complain. Executive attention possible but low likelihood of political issues.","1 – Single unit: Single branch or unit within a division.","4 – Critical: Most steps stop without it; downtime causes major disruption.","3 – Within 24 hours: Must be restored within a day.","3 – Important: Indirectly supports important operational or citizen-facing services. An outage causes delays or inefficiencies, but services can continue temporarily using workarounds.","2 – Poor: Provides limited support for business needs and requires significant manual intervention.","1 – Very low: Unlikely to meet evolving needs without major replacement.","2 – Dissatisfied: Users report regular frustration or gaps.",,"2/26/2026 2:14 PM","Brittner, Ryan SBP"
"Fur Program Statistics",,"Joann Skilnick","BSS","17.5","11.3","3 – Indirect: Plays a supportive role in general operations but is not directly aligned with strategic objectives.","2 – Indirect: May support operations that have a minor, indirect influence on economic activity.","1 – Minimal: Low profile. Failure would not attract public or political attention. Limited to internal inconvenience.","1 – Single unit: Single branch or unit within a division.","1 – Low dependency: Used occasionally; the process runs easily without it.","1 – Greater than a week: Can be offline for more than a week.","2 – Supporting: Indirectly supports internal or administrative functions that enable service delivery. An outage has a limited operational impact and can be managed through manual or alternate processes.","2 – Poor: Provides limited support for business needs and requires significant manual intervention.","1 – Very low: Unlikely to meet evolving needs without major replacement.","2 – Dissatisfied: Users report regular frustration or gaps.",,"2/26/2026 2:23 PM","Brittner, Ryan SBP"
"FMS - Financial Management System",,"Robert Gillis","BSS","45.0","45.0","4 – Aligned: Clearly supports one or more strategic goals or enables key outcomes such as program delivery or compliance.","4 – Supports plan objective: Indirectly supports a specific Growth Plan objective or related economic initiative.","2 – Limited: Could trigger a few complaints inside a branch, but unlikely to reach executives, minister, or media.","4 – Cross organization: Cross-organization for internal use.","2 – Moderate dependency: Regularly used; the process continues with manual effort or a short workaround.","2 – Within 1 week: Must be restored within a week.","3 – Important: Indirectly supports important operational or citizen-facing services. An outage causes delays or inefficiencies, but services can continue temporarily using workarounds.","2 – Poor: Provides limited support for business needs and requires significant manual intervention.","1 – Very low: Unlikely to meet evolving needs without major replacement.","2 – Dissatisfied: Users report regular frustration or gaps.",,"2/26/2026 2:30 PM","Brittner, Ryan SBP"
"Permits - FWLB",,"Joann Skilnick","BSS","46.3","65.0","4 – Aligned: Clearly supports one or more strategic goals or enables key outcomes such as program delivery or compliance.","2 – Indirect: May support operations that have a minor, indirect influence on economic activity.","3 – Moderate: Noticeable impact. Partners or citizens may complain. Executive attention possible but low likelihood of political issues.","4 – Cross organization: Cross-organization for internal use.","4 – Critical: Most steps stop without it; downtime causes major disruption.","3 – Within 24 hours: Must be restored within a day.","4 – Essential: Directly supports core public services or revenue collection. An outage causes significant service disruption and public impact, but short outages may be managed.","2 – Poor: Provides limited support for business needs and requires significant manual intervention.","1 – Very low: Unlikely to meet evolving needs without major replacement.","2 – Dissatisfied: Users report regular frustration or gaps.",,"3/2/2026 2:14 PM","Brittner, Ryan SBP"
"TISWEB - Timber Information System Web",,"Vicki Gauthier","BSS","32.5","47.5","4 – Aligned: Clearly supports one or more strategic goals or enables key outcomes such as program delivery or compliance.","4 – Supports plan objective: Indirectly supports a specific Growth Plan objective or related economic initiative.","3 – Moderate: Noticeable impact. Partners or citizens may complain. Executive attention possible but low likelihood of political issues.","1 – Single unit: Single branch or unit within a division.","3 – High dependency: Core to daily work; the process slows or risks errors if the application is unavailable.","2 – Within 1 week: Must be restored within a week.","4 – Essential: Directly supports core public services or revenue collection. An outage causes significant service disruption and public impact, but short outages may be managed.","1 – Very poor: The application does not align with current business processes or objectives.","1 – Very low: Unlikely to meet evolving needs without major replacement.","1 – Very dissatisfied: Users are unhappy and there are frequent complaints.",,"3/2/2026 2:23 PM","Brittner, Ryan SBP"
"TIS - Timber Information System",,"Vicki Gauthier","BSS","32.5","47.5","4 – Aligned: Clearly supports one or more strategic goals or enables key outcomes such as program delivery or compliance.","4 – Supports plan objective: Indirectly supports a specific Growth Plan objective or related economic initiative.","3 – Moderate: Noticeable impact. Partners or citizens may complain. Executive attention possible but low likelihood of political issues.","1 – Single unit: Single branch or unit within a division.","3 – High dependency: Core to daily work; the process slows or risks errors if the application is unavailable.","2 – Within 1 week: Must be restored within a week.","4 – Essential: Directly supports core public services or revenue collection. An outage causes significant service disruption and public impact, but short outages may be managed.","1 – Very poor: The application does not align with current business processes or objectives.","1 – Very low: Unlikely to meet evolving needs without major replacement.","1 – Very dissatisfied: Users are unhappy and there are frequent complaints.",,"3/2/2026 2:23 PM","Brittner, Ryan SBP"
"SEQG - Saskatchewan Environment Quality Guidelines",,"Miranda Carlberg","BSS","67.5","38.8","3 – Indirect: Plays a supportive role in general operations but is not directly aligned with strategic objectives.","2 – Indirect: May support operations that have a minor, indirect influence on economic activity.","3 – Moderate: Noticeable impact. Partners or citizens may complain. Executive attention possible but low likelihood of political issues.","5 – Public facing: Public-facing.","2 – Moderate dependency: Regularly used; the process continues with manual effort or a short workaround.","1 – Greater than a week: Can be offline for more than a week.","2 – Supporting: Indirectly supports internal or administrative functions that enable service delivery. An outage has a limited operational impact and can be managed through manual or alternate processes.","5 – Excellent: Fully meets current business needs and improves operational efficiency.","5 – Exceptional: Fully aligned and positioned for future needs.","5 – Very satisfied: Users are very positive and see it as reliable and helpful.",,"3/2/2026 2:30 PM","Brittner, Ryan SBP"
"HAL - Hunting and Fishing Licence Sales",,"Travis Williams","BSS","87.5","93.8","5 – Essential: Directly enables or is required to achieve a core strategic goal or mandated outcome.","4 – Supports plan objective: Indirectly supports a specific Growth Plan objective or related economic initiative.","5 – Transformative: High-profile system. Outage would cause public backlash, negative media, legislative scrutiny, or major loss of trust.","5 – Public facing: Public-facing.","5 – Mission critical: Essential for service delivery; failure halts operations or breaches a mandate.","5 – Within 1 hour: Must be restored in under an hour.","4 – Essential: Directly supports core public services or revenue collection. An outage causes significant service disruption and public impact, but short outages may be managed.","4 – Good: Aligns well with current business requirements and supports most processes effectively.","4 – High: Has flexibility for long-term growth and capability for change.","4 – Satisfied: Users are generally positive with few issues.",,"3/2/2026 2:35 PM","Brittner, Ryan SBP"
"Public Inquiry System",,,"BSS","80.0","72.5","4 – Aligned: Clearly supports one or more strategic goals or enables key outcomes such as program delivery or compliance.","2 – Indirect: May support operations that have a minor, indirect influence on economic activity.","4 – Strong: Failure would be visible to many users or citizens. Likely to draw executive attention, potential ministerial questions, or audit findings.","5 – Public facing: Public-facing.","4 – Critical: Most steps stop without it; downtime causes major disruption.","3 – Within 24 hours: Must be restored within a day.","4 – Essential: Directly supports core public services or revenue collection. An outage causes significant service disruption and public impact, but short outages may be managed.","5 – Excellent: Fully meets current business needs and improves operational efficiency.","5 – Exceptional: Fully aligned and positioned for future needs.","5 – Very satisfied: Users are very positive and see it as reliable and helpful.",,"3/2/2026 2:39 PM","Brittner, Ryan SBP"
"ECRM - ENV",,"Krista Campbell","BSS","55.0","75.0","4 – Aligned: Clearly supports one or more strategic goals or enables key outcomes such as program delivery or compliance.","4 – Supports plan objective: Indirectly supports a specific Growth Plan objective or related economic initiative.","4 – Strong: Failure would be visible to many users or citizens. Likely to draw executive attention, potential ministerial questions, or audit findings.","5 – Public facing: Public-facing.","4 – Critical: Most steps stop without it; downtime causes major disruption.","3 – Within 24 hours: Must be restored within a day.","4 – Essential: Directly supports core public services or revenue collection. An outage causes significant service disruption and public impact, but short outages may be managed.","2 – Poor: Provides limited support for business needs and requires significant manual intervention.","1 – Very low: Unlikely to meet evolving needs without major replacement.","1 – Very dissatisfied: Users are unhappy and there are frequent complaints.","The application was public facing, but the portal needed to be permanently retired after a security incident.","3/2/2026 2:51 PM","Chernick, Bryan ENV"
"HABISASK - Hunting, Angling and Biodiversity Information",,"Katherine Mehl","Mike, Jarred, Bryan","71.3","72.5","4 – Aligned: Clearly supports one or more strategic goals or enables key outcomes such as program delivery or compliance.","3 – Supports growth: Not listed in the Growth Plan but contributes in a visible way to economic development or investment.","4 – Strong: Failure would be visible to many users or citizens. Likely to draw executive attention, potential ministerial questions, or audit findings.","5 – Public facing: Public-facing.","3 – High dependency: Core to daily work; the process slows or risks errors if the application is unavailable.","4 – Within 4 hours: Must be restored within four hours.","4 – Essential: Directly supports core public services or revenue collection. An outage causes significant service disruption and public impact, but short outages may be managed.","4 – Good: Aligns well with current business requirements and supports most processes effectively.","4 – High: Has flexibility for long-term growth and capability for change.","4 – Satisfied: Users are generally positive with few issues.",,"3/10/2026 4:10 PM","Brittner, Ryan SBP"
"Sask Interactive",,,"Mike, Jarred, Bryan","56.3","46.3","3 – Indirect: Plays a supportive role in general operations but is not directly aligned with strategic objectives.","2 – Indirect: May support operations that have a minor, indirect influence on economic activity.","4 – Strong: Failure would be visible to many users or citizens. Likely to draw executive attention, potential ministerial questions, or audit findings.","5 – Public facing: Public-facing.","2 – Moderate dependency: Regularly used; the process continues with manual effort or a short workaround.","2 – Within 1 week: Must be restored within a week.","2 – Supporting: Indirectly supports internal or administrative functions that enable service delivery. An outage has a limited operational impact and can be managed through manual or alternate processes.","4 – Good: Aligns well with current business requirements and supports most processes effectively.","4 – High: Has flexibility for long-term growth and capability for change.","3 – Neutral: Users see it as acceptable but unremarkable.",,"3/10/2026 4:18 PM","Brittner, Ryan SBP"
